time,Te,Tg,Q_sol_N1,Q_sol_E1,Q_sol_W1,Q_sol_S1,Q_int_D1,Q_int_N1,Q_sol_N2,Q_sol_E2,Q_sol_W2,Q_sol_S2,Q_int_D2,Q_int_N2,Q_sol_N3,Q_sol_E3,Q_sol_W3,Q_sol_S3,Q_int_D3,Q_int_N3,Q_sol_N4,Q_sol_E4,Q_sol_W4,Q_sol_S4,Q_int_D4,Q_int_N4,Q_sol_N5,Q_sol_E5,Q_sol_W5,Q_sol_S5,Q_int_D5,Q_int_N5,Q_sol_N6,Q_sol_E6,Q_sol_W6,Q_sol_S6,Q_int_D6,Q_int_N6,Q_sol_N7,Q_sol_E7,Q_sol_W7,Q_sol_S7,Q_int_D7,Q_int_N7,Q_sol_N8,Q_sol_E8,Q_sol_W8,Q_sol_S8,Q_int_D8,Q_int_N8,Q_sol_N9,Q_sol_E9,Q_sol_W9,Q_sol_S9,Q_int_D9,Q_int_N9,Q_sol_N10,Q_sol_E10,Q_sol_W10,Q_sol_S10,Q_int_D10,Q_int_N10
0,8,10,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869
3600,8,10,0,0,0,0,118.09805,50.61345,0,0,0,0,118.09805,50.61345,0,0,0,0,118.09805,50.61345,0,0,0,0,118.09805,50.61345,0,0,0,0,118.09805,50.61345,0,0,0,0,118.09805,50.61345,0,0,0,0,118.09805,50.61345,0,0,0,0,118.09805,50.61345,0,0,0,0,118.09805,50.61345,0,0,0,0,118.09805,50.61345
7200,8.8,10,0,0,0,0,112.3198358,48.1370725,0,0,0,0,112.3198358,48.1370725,0,0,0,0,112.3198358,48.1370725,0,0,0,0,112.3198358,48.1370725,0,0,0,0,112.3198358,48.1370725,0,0,0,0,112.3198358,48.1370725,0,0,0,0,112.3198358,48.1370725,0,0,0,0,112.3198358,48.1370725,0,0,0,0,112.3198358,48.1370725,0,0,0,0,112.3198358,48.1370725
10800,8.5,10,0,0,0,0,58.8244125,25.2104625,0,0,0,0,58.8244125,25.2104625,0,0,0,0,58.8244125,25.2104625,0,0,0,0,58.8244125,25.2104625,0,0,0,0,58.8244125,25.2104625,0,0,0,0,58.8244125,25.2104625,0,0,0,0,58.8244125,25.2104625,0,0,0,0,58.8244125,25.2104625,0,0,0,0,58.8244125,25.2104625,0,0,0,0,58.8244125,25.2104625
14400,8.4,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
18000,8.3,10,0,0,0,0,33.38066667,14.306,0,0,0,0,33.38066667,14.306,0,0,0,0,33.38066667,14.306,0,0,0,0,33.38066667,14.306,0,0,0,0,33.38066667,14.306,0,0,0,0,33.38066667,14.306,0,0,0,0,33.38066667,14.306,0,0,0,0,33.38066667,14.306,0,0,0,0,33.38066667,14.306,0,0,0,0,33.38066667,14.306
21600,8.2,10,0,0,0,0,53.3225,22.8525,0,0,0,0,53.3225,22.8525,0,0,0,0,53.3225,22.8525,0,0,0,0,53.3225,22.8525,0,0,0,0,53.3225,22.8525,0,0,0,0,53.3225,22.8525,0,0,0,0,53.3225,22.8525,0,0,0,0,53.3225,22.8525,0,0,0,0,53.3225,22.8525,0,0,0,0,53.3225,22.8525
25200,8.1,10,0,0,0,0,106.5516667,45.665,0,0,0,0,106.5516667,45.665,0,0,0,0,106.5516667,45.665,0,0,0,0,106.5516667,45.665,0,0,0,0,106.5516667,45.665,0,0,0,0,106.5516667,45.665,0,0,0,0,106.5516667,45.665,0,0,0,0,106.5516667,45.665,0,0,0,0,106.5516667,45.665,0,0,0,0,106.5516667,45.665
28800,8,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
32400,8,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
36000,7.9,10,54,72,72,54,41.538,17.802,54,72,72,54,41.538,17.802,54,72,72,54,41.538,17.802,54,72,72,54,41.538,17.802,54,72,72,54,41.538,17.802,54,72,72,54,41.538,17.802,54,72,72,54,41.538,17.802,54,72,72,54,41.538,17.802,54,72,72,54,41.538,17.802,54,72,72,54,41.538,17.802
39600,7.9,10,135,180,180,135,32.361,13.869,135,180,180,135,32.361,13.869,135,180,180,135,32.361,13.869,135,180,180,135,32.361,13.869,135,180,180,135,32.361,13.869,135,180,180,135,32.361,13.869,135,180,180,135,32.361,13.869,135,180,180,135,32.361,13.869,135,180,180,135,32.361,13.869,135,180,180,135,32.361,13.869
43200,7.9,10,207,276,276,207,40.51833333,17.365,207,276,276,207,40.51833333,17.365,207,276,276,207,40.51833333,17.365,207,276,276,207,40.51833333,17.365,207,276,276,207,40.51833333,17.365,207,276,276,207,40.51833333,17.365,207,276,276,207,40.51833333,17.365,207,276,276,207,40.51833333,17.365,207,276,276,207,40.51833333,17.365,207,276,276,207,40.51833333,17.365
46800,7.9,10,261,348,348,261,45.61666667,19.55,261,348,348,261,45.61666667,19.55,261,348,348,261,45.61666667,19.55,261,348,348,261,45.61666667,19.55,261,348,348,261,45.61666667,19.55,261,348,348,261,45.61666667,19.55,261,348,348,261,45.61666667,19.55,261,348,348,261,45.61666667,19.55,261,348,348,261,45.61666667,19.55,261,348,348,261,45.61666667,19.55
50400,7.9,10,243,324,324,243,45.61666667,19.55,243,324,324,243,45.61666667,19.55,243,324,324,243,45.61666667,19.55,243,324,324,243,45.61666667,19.55,243,324,324,243,45.61666667,19.55,243,324,324,243,45.61666667,19.55,243,324,324,243,45.61666667,19.55,243,324,324,243,45.61666667,19.55,243,324,324,243,45.61666667,19.55,243,324,324,243,45.61666667,19.55
54000,7.9,10,180,240,240,180,45.61666667,19.55,180,240,240,180,45.61666667,19.55,180,240,240,180,45.61666667,19.55,180,240,240,180,45.61666667,19.55,180,240,240,180,45.61666667,19.55,180,240,240,180,45.61666667,19.55,180,240,240,180,45.61666667,19.55,180,240,240,180,45.61666667,19.55,180,240,240,180,45.61666667,19.55,180,240,240,180,45.61666667,19.55
57600,7.8,10,99,132,132,99,36.43966667,15.617,99,132,132,99,36.43966667,15.617,99,132,132,99,36.43966667,15.617,99,132,132,99,36.43966667,15.617,99,132,132,99,36.43966667,15.617,99,132,132,99,36.43966667,15.617,99,132,132,99,36.43966667,15.617,99,132,132,99,36.43966667,15.617,99,132,132,99,36.43966667,15.617,99,132,132,99,36.43966667,15.617
61200,7.7,10,18,24,24,18,32.361,13.869,18,24,24,18,32.361,13.869,18,24,24,18,32.361,13.869,18,24,24,18,32.361,13.869,18,24,24,18,32.361,13.869,18,24,24,18,32.361,13.869,18,24,24,18,32.361,13.869,18,24,24,18,32.361,13.869,18,24,24,18,32.361,13.869,18,24,24,18,32.361,13.869
64800,7.4,10,0,0,0,0,86.56141667,37.09775,0,0,0,0,86.56141667,37.09775,0,0,0,0,86.56141667,37.09775,0,0,0,0,86.56141667,37.09775,0,0,0,0,86.56141667,37.09775,0,0,0,0,86.56141667,37.09775,0,0,0,0,86.56141667,37.09775,0,0,0,0,86.56141667,37.09775,0,0,0,0,86.56141667,37.09775,0,0,0,0,86.56141667,37.09775
68400,7,10,0,0,0,0,77.73208333,33.31375,0,0,0,0,77.73208333,33.31375,0,0,0,0,77.73208333,33.31375,0,0,0,0,77.73208333,33.31375,0,0,0,0,77.73208333,33.31375,0,0,0,0,77.73208333,33.31375,0,0,0,0,77.73208333,33.31375,0,0,0,0,77.73208333,33.31375,0,0,0,0,77.73208333,33.31375,0,0,0,0,77.73208333,33.31375
72000,7.3,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
75600,6.9,10,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113
79200,6.9,10,0,0,0,0,32.61766667,13.979,0,0,0,0,32.61766667,13.979,0,0,0,0,32.61766667,13.979,0,0,0,0,32.61766667,13.979,0,0,0,0,32.61766667,13.979,0,0,0,0,32.61766667,13.979,0,0,0,0,32.61766667,13.979,0,0,0,0,32.61766667,13.979,0,0,0,0,32.61766667,13.979,0,0,0,0,32.61766667,13.979
82800,6.9,10,0,0,0,0,146.3950833,62.74075,0,0,0,0,146.3950833,62.74075,0,0,0,0,146.3950833,62.74075,0,0,0,0,146.3950833,62.74075,0,0,0,0,146.3950833,62.74075,0,0,0,0,146.3950833,62.74075,0,0,0,0,146.3950833,62.74075,0,0,0,0,146.3950833,62.74075,0,0,0,0,146.3950833,62.74075,0,0,0,0,146.3950833,62.74075
86400,6.9,10,0,0,0,0,89.27566667,38.261,0,0,0,0,89.27566667,38.261,0,0,0,0,89.27566667,38.261,0,0,0,0,89.27566667,38.261,0,0,0,0,89.27566667,38.261,0,0,0,0,89.27566667,38.261,0,0,0,0,89.27566667,38.261,0,0,0,0,89.27566667,38.261,0,0,0,0,89.27566667,38.261,0,0,0,0,89.27566667,38.261
90000,6.7,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
93600,6.2,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
97200,6.1,10,0,0,0,0,39.49866667,16.928,0,0,0,0,39.49866667,16.928,0,0,0,0,39.49866667,16.928,0,0,0,0,39.49866667,16.928,0,0,0,0,39.49866667,16.928,0,0,0,0,39.49866667,16.928,0,0,0,0,39.49866667,16.928,0,0,0,0,39.49866667,16.928,0,0,0,0,39.49866667,16.928,0,0,0,0,39.49866667,16.928
100800,6,10,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869
104400,5.9,10,0,0,0,0,42.55766667,18.239,0,0,0,0,42.55766667,18.239,0,0,0,0,42.55766667,18.239,0,0,0,0,42.55766667,18.239,0,0,0,0,42.55766667,18.239,0,0,0,0,42.55766667,18.239,0,0,0,0,42.55766667,18.239,0,0,0,0,42.55766667,18.239,0,0,0,0,42.55766667,18.239,0,0,0,0,42.55766667,18.239
108000,5.8,10,0,0,0,0,78.19,33.51,0,0,0,0,78.19,33.51,0,0,0,0,78.19,33.51,0,0,0,0,78.19,33.51,0,0,0,0,78.19,33.51,0,0,0,0,78.19,33.51,0,0,0,0,78.19,33.51,0,0,0,0,78.19,33.51,0,0,0,0,78.19,33.51,0,0,0,0,78.19,33.51
111600,5.7,10,0,0,0,0,56.71166667,24.305,0,0,0,0,56.71166667,24.305,0,0,0,0,56.71166667,24.305,0,0,0,0,56.71166667,24.305,0,0,0,0,56.71166667,24.305,0,0,0,0,56.71166667,24.305,0,0,0,0,56.71166667,24.305,0,0,0,0,56.71166667,24.305,0,0,0,0,56.71166667,24.305,0,0,0,0,56.71166667,24.305
115200,5.6,10,0,0,0,0,47.67,20.43,0,0,0,0,47.67,20.43,0,0,0,0,47.67,20.43,0,0,0,0,47.67,20.43,0,0,0,0,47.67,20.43,0,0,0,0,47.67,20.43,0,0,0,0,47.67,20.43,0,0,0,0,47.67,20.43,0,0,0,0,47.67,20.43,0,0,0,0,47.67,20.43
118800,5.6,10,0,0,0,0,34.40033333,14.743,0,0,0,0,34.40033333,14.743,0,0,0,0,34.40033333,14.743,0,0,0,0,34.40033333,14.743,0,0,0,0,34.40033333,14.743,0,0,0,0,34.40033333,14.743,0,0,0,0,34.40033333,14.743,0,0,0,0,34.40033333,14.743,0,0,0,0,34.40033333,14.743,0,0,0,0,34.40033333,14.743
122400,5.9,10,171,228,228,171,34.40033333,14.743,171,228,228,171,34.40033333,14.743,171,228,228,171,34.40033333,14.743,171,228,228,171,34.40033333,14.743,171,228,228,171,34.40033333,14.743,171,228,228,171,34.40033333,14.743,171,228,228,171,34.40033333,14.743,171,228,228,171,34.40033333,14.743,171,228,228,171,34.40033333,14.743,171,228,228,171,34.40033333,14.743
126000,6.2,10,441,588,588,441,45.61666667,19.55,441,588,588,441,45.61666667,19.55,441,588,588,441,45.61666667,19.55,441,588,588,441,45.61666667,19.55,441,588,588,441,45.61666667,19.55,441,588,588,441,45.61666667,19.55,441,588,588,441,45.61666667,19.55,441,588,588,441,45.61666667,19.55,441,588,588,441,45.61666667,19.55,441,588,588,441,45.61666667,19.55
129600,6.6,10,702,936,936,702,45.61666667,19.55,702,936,936,702,45.61666667,19.55,702,936,936,702,45.61666667,19.55,702,936,936,702,45.61666667,19.55,702,936,936,702,45.61666667,19.55,702,936,936,702,45.61666667,19.55,702,936,936,702,45.61666667,19.55,702,936,936,702,45.61666667,19.55,702,936,936,702,45.61666667,19.55,702,936,936,702,45.61666667,19.55
133200,6.9,10,720,960,960,720,45.61666667,19.55,720,960,960,720,45.61666667,19.55,720,960,960,720,45.61666667,19.55,720,960,960,720,45.61666667,19.55,720,960,960,720,45.61666667,19.55,720,960,960,720,45.61666667,19.55,720,960,960,720,45.61666667,19.55,720,960,960,720,45.61666667,19.55,720,960,960,720,45.61666667,19.55,720,960,960,720,45.61666667,19.55
136800,6.9,10,567,756,756,567,42.55766667,18.239,567,756,756,567,42.55766667,18.239,567,756,756,567,42.55766667,18.239,567,756,756,567,42.55766667,18.239,567,756,756,567,42.55766667,18.239,567,756,756,567,42.55766667,18.239,567,756,756,567,42.55766667,18.239,567,756,756,567,42.55766667,18.239,567,756,756,567,42.55766667,18.239,567,756,756,567,42.55766667,18.239
140400,6.9,10,423,564,564,423,32.361,13.869,423,564,564,423,32.361,13.869,423,564,564,423,32.361,13.869,423,564,564,423,32.361,13.869,423,564,564,423,32.361,13.869,423,564,564,423,32.361,13.869,423,564,564,423,32.361,13.869,423,564,564,423,32.361,13.869,423,564,564,423,32.361,13.869,423,564,564,423,32.361,13.869
144000,6.8,10,234,312,312,234,39.49866667,16.928,234,312,312,234,39.49866667,16.928,234,312,312,234,39.49866667,16.928,234,312,312,234,39.49866667,16.928,234,312,312,234,39.49866667,16.928,234,312,312,234,39.49866667,16.928,234,312,312,234,39.49866667,16.928,234,312,312,234,39.49866667,16.928,234,312,312,234,39.49866667,16.928,234,312,312,234,39.49866667,16.928
147600,6.5,10,18,24,24,18,90.09583333,38.6125,18,24,24,18,90.09583333,38.6125,18,24,24,18,90.09583333,38.6125,18,24,24,18,90.09583333,38.6125,18,24,24,18,90.09583333,38.6125,18,24,24,18,90.09583333,38.6125,18,24,24,18,90.09583333,38.6125,18,24,24,18,90.09583333,38.6125,18,24,24,18,90.09583333,38.6125,18,24,24,18,90.09583333,38.6125
151200,6.3,10,0,0,0,0,47.67583333,20.4325,0,0,0,0,47.67583333,20.4325,0,0,0,0,47.67583333,20.4325,0,0,0,0,47.67583333,20.4325,0,0,0,0,47.67583333,20.4325,0,0,0,0,47.67583333,20.4325,0,0,0,0,47.67583333,20.4325,0,0,0,0,47.67583333,20.4325,0,0,0,0,47.67583333,20.4325,0,0,0,0,47.67583333,20.4325
154800,6,10,0,0,0,0,113.89,48.81,0,0,0,0,113.89,48.81,0,0,0,0,113.89,48.81,0,0,0,0,113.89,48.81,0,0,0,0,113.89,48.81,0,0,0,0,113.89,48.81,0,0,0,0,113.89,48.81,0,0,0,0,113.89,48.81,0,0,0,0,113.89,48.81,0,0,0,0,113.89,48.81
158400,5.8,10,0,0,0,0,55.426,23.754,0,0,0,0,55.426,23.754,0,0,0,0,55.426,23.754,0,0,0,0,55.426,23.754,0,0,0,0,55.426,23.754,0,0,0,0,55.426,23.754,0,0,0,0,55.426,23.754,0,0,0,0,55.426,23.754,0,0,0,0,55.426,23.754,0,0,0,0,55.426,23.754
162000,5.5,10,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869
165600,5.3,10,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113,0,0,0,0,44.597,19.113
169200,5,10,0,0,0,0,53.1213375,22.7662875,0,0,0,0,53.1213375,22.7662875,0,0,0,0,53.1213375,22.7662875,0,0,0,0,53.1213375,22.7662875,0,0,0,0,53.1213375,22.7662875,0,0,0,0,53.1213375,22.7662875,0,0,0,0,53.1213375,22.7662875,0,0,0,0,53.1213375,22.7662875,0,0,0,0,53.1213375,22.7662875,0,0,0,0,53.1213375,22.7662875
172800,4.8,10,0,0,0,0,49.17009417,21.0728975,0,0,0,0,49.17009417,21.0728975,0,0,0,0,49.17009417,21.0728975,0,0,0,0,49.17009417,21.0728975,0,0,0,0,49.17009417,21.0728975,0,0,0,0,49.17009417,21.0728975,0,0,0,0,49.17009417,21.0728975,0,0,0,0,49.17009417,21.0728975,0,0,0,0,49.17009417,21.0728975,0,0,0,0,49.17009417,21.0728975
176400,4.6,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
180000,4.4,10,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869,0,0,0,0,32.361,13.869
183600,4.2,10,0,0,0,0,36.43966667,15.617,0,0,0,0,36.43966667,15.617,0,0,0,0,36.43966667,15.617,0,0,0,0,36.43966667,15.617,0,0,0,0,36.43966667,15.617,0,0,0,0,36.43966667,15.617,0,0,0,0,36.43966667,15.617,0,0,0,0,36.43966667,15.617,0,0,0,0,36.43966667,15.617,0,0,0,0,36.43966667,15.617
187200,4.2,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
190800,4.1,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
194400,4,10,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55,0,0,0,0,45.61666667,19.55
198000,4,10,0,0,0,0,42.315,18.135,0,0,0,0,42.315,18.135,0,0,0,0,42.315,18.135,0,0,0,0,42.315,18.135,0,0,0,0,42.315,18.135,0,0,0,0,42.315,18.135,0,0,0,0,42.315,18.135,0,0,0,0,42.315,18.135,0,0,0,0,42.315,18.135,0,0,0,0,42.315,18.135
201600,4,10,0,0,0,0,35.95433333,15.409,0,0,0,0,35.95433333,15.409,0,0,0,0,35.95433333,15.409,0,0,0,0,35.95433333,15.409,0,0,0,0,35.95433333,15.409,0,0,0,0,35.95433333,15.409,0,0,0,0,35.95433333,15.409,0,0,0,0,35.95433333,15.409,0,0,0,0,35.95433333,15.409,0,0,0,0,35.95433333,15.409
